pass,client_id,t_start_utc,file,keyword,count,from_cache,server,latency_ms,source_file
1,0011bff13c47,2025-10-15T11:45:34.175450,grail,Ecky-Ecky-Ecky,1,True,a45d25883979,5.922656999700848,latency-0011bff13c47.csv
1,0011bff13c47,2025-10-15T11:45:34.290379,shrek,and,318,True,a45d25883979,7.784536999679403,latency-0011bff13c47.csv
1,0011bff13c47,2025-10-15T11:45:34.404971,shrek,help,5,True,a45d25883979,7.682680000016262,latency-0011bff13c47.csv
1,0011bff13c47,2025-10-15T11:45:34.524058,grail,pretty,7,True,a45d25883979,5.228748000263295,latency-0011bff13c47.csv
1,0011bff13c47,2025-10-15T11:45:34.634549,shrek3,116,1,True,a45d25883979,5.191078999814636,latency-0011bff13c47.csv
1,0011bff13c47,2025-10-15T11:45:34.744657,grail,Eolio,2,True,a45d25883979,8.840416000111873,latency-0011bff13c47.csv
1,0011bff13c47,2025-10-15T11:45:34.860605,shrek3,WOLF,7,True,a45d25883979,9.2722459999095,latency-0011bff13c47.csv
1,0011bff13c47,2025-10-15T11:45:34.979830,shrek3,reason,2,True,a45d25883979,4.624201999831712,latency-0011bff13c47.csv
1,0011bff13c47,2025-10-15T11:45:35.089455,shrek3,time,23,True,a45d25883979,7.773250000354892,latency-0011bff13c47.csv
1,0011bff13c47,2025-10-15T11:45:35.203063,grail,"lute,",0,True,a45d25883979,7.986560000063037,latency-0011bff13c47.csv
1,0011bff13c47,2025-10-15T11:45:35.317676,grail,Auuuuuuuugh,2,True,a45d25883979,4.306855999857362,latency-0011bff13c47.csv
1,0011bff13c47,2025-10-15T11:45:35.426955,shrek,ogre,27,True,a45d25883979,7.06344500031264,latency-0011bff13c47.csv
1,0011bff13c47,2025-10-15T11:45:35.540916,grail,right,66,True,a45d25883979,6.042129999968893,latency-0011bff13c47.csv
1,0011bff13c47,2025-10-15T11:45:35.652939,shrek,at,62,True,a45d25883979,6.836618999841448,latency-0011bff13c47.csv
1,0011bff13c47,2025-10-15T11:45:35.767097,shrek3,true,1,True,a45d25883979,4.879687999618909,latency-0011bff13c47.csv
1,0011bff13c47,2025-10-15T11:45:35.877165,shrek,a,305,True,a45d25883979,7.695374999912019,latency-0011bff13c47.csv
1,0011bff13c47,2025-10-15T11:45:35.991126,shrek3,you,328,True,a45d25883979,7.464295000318089,latency-0011bff13c47.csv
1,0011bff13c47,2025-10-15T11:45:36.104758,shrek3,him,87,True,a45d25883979,11.163299000145344,latency-0011bff13c47.csv
1,0011bff13c47,2025-10-15T11:45:36.223898,shrek,old,10,True,72ad01c69167,10.907278999638947,latency-0011bff13c47.csv
1,0011bff13c47,2025-10-15T11:45:36.347370,shrek3,to,511,True,a45d25883979,8.758842000133882,latency-0011bff13c47.csv
2,0011bff13c47,2025-10-15T11:45:36.463889,grail,Ecky-Ecky-Ecky,1,True,1de2274fea60,11.453467000137609,latency-0011bff13c47.csv
2,0011bff13c47,2025-10-15T11:45:36.593407,shrek,and,318,True,1de2274fea60,10.704781000185903,latency-0011bff13c47.csv
2,0011bff13c47,2025-10-15T11:45:36.710981,shrek,help,5,True,72ad01c69167,5.012717000226985,latency-0011bff13c47.csv
2,0011bff13c47,2025-10-15T11:45:36.821409,grail,pretty,7,True,a45d25883979,5.358229000194115,latency-0011bff13c47.csv
