pass,client_id,t_start_utc,file,keyword,count,from_cache,server,latency_ms
1,95f8afd8f714,2025-10-21T15:12:17.109148,shrek,DONKEY,320,False,27e909ccd66b,14.176356000461965
1,95f8afd8f714,2025-10-21T15:12:17.227491,grail,is,317,False,27e909ccd66b,8.977076000519446
1,95f8afd8f714,2025-10-21T15:12:17.340448,grail,-,259,False,27e909ccd66b,8.159523999893281
1,95f8afd8f714,2025-10-21T15:12:17.452214,shrek3,to,511,False,27e909ccd66b,9.507128999757697
1,95f8afd8f714,2025-10-21T15:12:17.565121,grail,the,1600,False,27e909ccd66b,10.044806000223616
1,95f8afd8f714,2025-10-21T15:12:17.679078,grail,3,18,False,27e909ccd66b,6.79667700023856
1,95f8afd8f714,2025-10-21T15:12:17.788509,shrek3,to,511,True,27e909ccd66b,2.618905000417726
1,95f8afd8f714,2025-10-21T15:12:17.894347,shrek,FIONA,211,False,27e909ccd66b,7.606425000631134
1,95f8afd8f714,2025-10-21T15:12:18.005811,grail,ANOTHER,25,False,27e909ccd66b,10.381234000305994
1,95f8afd8f714,2025-10-21T15:12:18.119597,shrek3,SHREK,678,False,27e909ccd66b,8.647804999782238
1,95f8afd8f714,2025-10-21T15:12:18.231159,shrek3,fall,6,False,27e909ccd66b,8.27891799963254
1,95f8afd8f714,2025-10-21T15:12:18.342579,shrek3,still,18,False,27e909ccd66b,8.112542000162648
1,95f8afd8f714,2025-10-21T15:12:18.453881,shrek,and,318,False,27e909ccd66b,7.17673700000887
1,95f8afd8f714,2025-10-21T15:12:18.564952,shrek,Is,132,False,27e909ccd66b,6.871310999486013
1,95f8afd8f714,2025-10-21T15:12:18.675347,grail,LTD,6,False,27e909ccd66b,7.44098299946927
1,95f8afd8f714,2025-10-21T15:12:18.786536,grail,pathetic,4,False,27e909ccd66b,7.771135000439244
1,95f8afd8f714,2025-10-21T15:12:18.897829,grail,from,94,False,27e909ccd66b,7.110898999599158
1,95f8afd8f714,2025-10-21T15:12:19.008264,grail,TV,2,False,27e909ccd66b,7.552648999990197
1,95f8afd8f714,2025-10-21T15:12:19.119125,shrek3,Be,71,False,27e909ccd66b,8.839738999995461
1,95f8afd8f714,2025-10-21T15:12:19.231249,shrek,your,49,False,27e909ccd66b,6.953802999305481
2,95f8afd8f714,2025-10-21T15:12:19.341806,shrek,DONKEY,320,True,27e909ccd66b,2.744919999713602
2,95f8afd8f714,2025-10-21T15:12:19.448167,grail,is,317,True,27e909ccd66b,2.7632750006887363
2,95f8afd8f714,2025-10-21T15:12:19.554556,grail,-,259,True,27e909ccd66b,2.887548000217066
2,95f8afd8f714,2025-10-21T15:12:19.660771,shrek3,to,511,True,27e909ccd66b,2.2065099992687465
2,95f8afd8f714,2025-10-21T15:12:19.766014,grail,the,1600,True,27e909ccd66b,3.0101659995125374
2,95f8afd8f714,2025-10-21T15:12:19.872903,grail,3,18,True,27e909ccd66b,2.8762849997292506
2,95f8afd8f714,2025-10-21T15:12:19.979455,shrek3,to,511,True,27e909ccd66b,2.856566999980714
2,95f8afd8f714,2025-10-21T15:12:20.085735,shrek,FIONA,211,True,27e909ccd66b,2.831892999893171
2,95f8afd8f714,2025-10-21T15:12:20.192471,grail,ANOTHER,25,True,27e909ccd66b,2.6764260001073126
2,95f8afd8f714,2025-10-21T15:12:20.298958,shrek3,SHREK,678,True,27e909ccd66b,2.755721000539779
2,95f8afd8f714,2025-10-21T15:12:20.405113,shrek3,fall,6,True,27e909ccd66b,3.1121150004764786
2,95f8afd8f714,2025-10-21T15:12:20.511861,shrek3,still,18,True,27e909ccd66b,2.6207870005237055
2,95f8afd8f714,2025-10-21T15:12:20.618259,shrek,and,318,True,27e909ccd66b,2.338948999749846
2,95f8afd8f714,2025-10-21T15:12:20.724313,shrek,Is,132,True,27e909ccd66b,2.8203419997225865
2,95f8afd8f714,2025-10-21T15:12:20.830397,grail,LTD,6,True,27e909ccd66b,2.3933630000101402
2,95f8afd8f714,2025-10-21T15:12:20.935938,grail,pathetic,4,True,27e909ccd66b,2.446518000397191
2,95f8afd8f714,2025-10-21T15:12:21.041722,grail,from,94,True,27e909ccd66b,3.0069299991737353
2,95f8afd8f714,2025-10-21T15:12:21.148609,grail,TV,2,True,27e909ccd66b,2.7378759996281588
2,95f8afd8f714,2025-10-21T15:12:21.254943,shrek3,Be,71,True,27e909ccd66b,2.5954479997380986
2,95f8afd8f714,2025-10-21T15:12:21.361131,shrek,your,49,True,27e909ccd66b,2.9258309996293974
