req_idx,t_start_utc,client_id,keyword,from_cache,latency_ms,file,count,pass,server
1,2025-10-21 15:12:17.109148+00:00,95f8afd8f714,DONKEY,False,14.176356000461965,shrek,320,1,27e909ccd66b
2,2025-10-21 15:12:17.227491+00:00,95f8afd8f714,is,False,8.977076000519446,grail,317,1,27e909ccd66b
3,2025-10-21 15:12:17.340448+00:00,95f8afd8f714,-,False,8.159523999893281,grail,259,1,27e909ccd66b
4,2025-10-21 15:12:17.452214+00:00,95f8afd8f714,to,False,9.507128999757697,shrek3,511,1,27e909ccd66b
5,2025-10-21 15:12:17.565121+00:00,95f8afd8f714,the,False,10.044806000223616,grail,1600,1,27e909ccd66b
6,2025-10-21 15:12:17.679078+00:00,95f8afd8f714,3,False,6.79667700023856,grail,18,1,27e909ccd66b
7,2025-10-21 15:12:17.788509+00:00,95f8afd8f714,to,True,2.618905000417726,shrek3,511,1,27e909ccd66b
8,2025-10-21 15:12:17.894347+00:00,95f8afd8f714,FIONA,False,7.606425000631134,shrek,211,1,27e909ccd66b
9,2025-10-21 15:12:18.005811+00:00,95f8afd8f714,ANOTHER,False,10.381234000305994,grail,25,1,27e909ccd66b
10,2025-10-21 15:12:18.119597+00:00,95f8afd8f714,SHREK,False,8.647804999782238,shrek3,678,1,27e909ccd66b
11,2025-10-21 15:12:18.231159+00:00,95f8afd8f714,fall,False,8.27891799963254,shrek3,6,1,27e909ccd66b
12,2025-10-21 15:12:18.342579+00:00,95f8afd8f714,still,False,8.112542000162648,shrek3,18,1,27e909ccd66b
13,2025-10-21 15:12:18.453881+00:00,95f8afd8f714,and,False,7.17673700000887,shrek,318,1,27e909ccd66b
14,2025-10-21 15:12:18.564952+00:00,95f8afd8f714,Is,False,6.871310999486013,shrek,132,1,27e909ccd66b
15,2025-10-21 15:12:18.675347+00:00,95f8afd8f714,LTD,False,7.44098299946927,grail,6,1,27e909ccd66b
16,2025-10-21 15:12:18.786536+00:00,95f8afd8f714,pathetic,False,7.771135000439244,grail,4,1,27e909ccd66b
17,2025-10-21 15:12:18.897829+00:00,95f8afd8f714,from,False,7.110898999599158,grail,94,1,27e909ccd66b
18,2025-10-21 15:12:19.008264+00:00,95f8afd8f714,TV,False,7.552648999990197,grail,2,1,27e909ccd66b
19,2025-10-21 15:12:19.119125+00:00,95f8afd8f714,Be,False,8.839738999995461,shrek3,71,1,27e909ccd66b
20,2025-10-21 15:12:19.231249+00:00,95f8afd8f714,your,False,6.953802999305481,shrek,49,1,27e909ccd66b
21,2025-10-21 15:12:19.341806+00:00,95f8afd8f714,DONKEY,True,2.744919999713602,shrek,320,2,27e909ccd66b
22,2025-10-21 15:12:19.448167+00:00,95f8afd8f714,is,True,2.7632750006887363,grail,317,2,27e909ccd66b
23,2025-10-21 15:12:19.554556+00:00,95f8afd8f714,-,True,2.887548000217066,grail,259,2,27e909ccd66b
24,2025-10-21 15:12:19.660771+00:00,95f8afd8f714,to,True,2.2065099992687465,shrek3,511,2,27e909ccd66b
25,2025-10-21 15:12:19.766014+00:00,95f8afd8f714,the,True,3.0101659995125374,grail,1600,2,27e909ccd66b
26,2025-10-21 15:12:19.872903+00:00,95f8afd8f714,3,True,2.8762849997292506,grail,18,2,27e909ccd66b
27,2025-10-21 15:12:19.979455+00:00,95f8afd8f714,to,True,2.856566999980714,shrek3,511,2,27e909ccd66b
28,2025-10-21 15:12:20.085735+00:00,95f8afd8f714,FIONA,True,2.831892999893171,shrek,211,2,27e909ccd66b
29,2025-10-21 15:12:20.192471+00:00,95f8afd8f714,ANOTHER,True,2.676426000107313,grail,25,2,27e909ccd66b
30,2025-10-21 15:12:20.298958+00:00,95f8afd8f714,SHREK,True,2.755721000539779,shrek3,678,2,27e909ccd66b
31,2025-10-21 15:12:20.405113+00:00,95f8afd8f714,fall,True,3.1121150004764786,shrek3,6,2,27e909ccd66b
32,2025-10-21 15:12:20.511861+00:00,95f8afd8f714,still,True,2.620787000523705,shrek3,18,2,27e909ccd66b
33,2025-10-21 15:12:20.618259+00:00,95f8afd8f714,and,True,2.338948999749846,shrek,318,2,27e909ccd66b
34,2025-10-21 15:12:20.724313+00:00,95f8afd8f714,Is,True,2.8203419997225865,shrek,132,2,27e909ccd66b
35,2025-10-21 15:12:20.830397+00:00,95f8afd8f714,LTD,True,2.39336300001014,grail,6,2,27e909ccd66b
36,2025-10-21 15:12:20.935938+00:00,95f8afd8f714,pathetic,True,2.446518000397191,grail,4,2,27e909ccd66b
37,2025-10-21 15:12:21.041722+00:00,95f8afd8f714,from,True,3.0069299991737357,grail,94,2,27e909ccd66b
38,2025-10-21 15:12:21.148609+00:00,95f8afd8f714,TV,True,2.7378759996281588,grail,2,2,27e909ccd66b
39,2025-10-21 15:12:21.254943+00:00,95f8afd8f714,Be,True,2.5954479997380986,shrek3,71,2,27e909ccd66b
40,2025-10-21 15:12:21.361131+00:00,95f8afd8f714,your,True,2.9258309996293974,shrek,49,2,27e909ccd66b
