t_start_utc,file,keyword,count,from_cache,server,latency_ms
2025-10-22T08:38:21.510236,grail,Butts,2,False,ecf5a14790a2,40.02
2025-10-22T08:38:22.051504,grail,are,114,False,9b1c20177680,32.60
2025-10-22T08:38:22.585228,shrek,a,305,False,9b683522af0c,33.17
2025-10-22T08:38:23.119581,shrek3,Arg,1,False,ecf5a14790a2,15.57
2025-10-22T08:38:23.636236,shrek,(standing,0,False,9b1c20177680,16.77
2025-10-22T08:38:24.154060,shrek,tell,25,False,9b683522af0c,14.25
2025-10-22T08:38:24.671951,shrek3,EVIL,59,False,ecf5a14790a2,17.75
2025-10-22T08:38:25.190733,grail,G,6,False,9b1c20177680,16.40
2025-10-22T08:38:25.708492,shrek,DONKEY,320,False,9b683522af0c,16.73
2025-10-22T08:38:26.226261,grail,sell,1,False,ecf5a14790a2,16.76
2025-10-22T08:38:26.744032,shrek,MAN,38,False,9b1c20177680,16.15
2025-10-22T08:38:27.261304,shrek3,boomerang,1,False,9b683522af0c,17.53
2025-10-22T08:38:27.779791,grail,-,259,False,ecf5a14790a2,16.49
2025-10-22T08:38:28.297275,shrek3,CAPTAIN,41,False,9b1c20177680,17.72
2025-10-22T08:38:28.816296,shrek,Nobody,4,False,9b683522af0c,16.30
2025-10-22T08:38:29.333734,shrek,afraid,8,False,ecf5a14790a2,15.04
2025-10-22T08:38:29.849809,shrek3,right,36,False,9b1c20177680,17.23
2025-10-22T08:38:30.368137,shrek3,Shrek,678,False,9b683522af0c,17.65
2025-10-22T08:38:30.886893,shrek3,WHITE,45,False,ecf5a14790a2,32.58
2025-10-22T08:38:31.420832,grail,ANOTHER,25,False,9b1c20177680,16.41
2025-10-22T08:38:31.938325,grail,Auuuuuuuugh,2,False,9b683522af0c,14.67
2025-10-22T08:38:32.454079,shrek,Is,132,False,ecf5a14790a2,17.22
2025-10-22T08:38:32.972401,shrek,Blah,1,False,9b1c20177680,16.10
2025-10-22T08:38:33.489564,shrek3,Shrek,678,True,9b683522af0c,10.19
2025-10-22T08:38:34.000734,shrek3,of,275,False,ecf5a14790a2,16.14
2025-10-22T08:38:34.517919,grail,CALLS,3,False,9b1c20177680,16.76
2025-10-22T08:38:35.035680,shrek3,MERLIN,73,False,9b683522af0c,16.70
2025-10-22T08:38:35.553371,shrek3,SHREK,678,True,ecf5a14790a2,11.90
2025-10-22T08:38:36.066158,grail,a,666,False,9b1c20177680,16.91
2025-10-22T08:38:36.584103,shrek3,wont,0,False,9b683522af0c,18.42
2025-10-22T08:38:37.103484,shrek,FIONA,211,False,ecf5a14790a2,15.96
2025-10-22T08:38:37.620502,shrek,rising,1,False,9b1c20177680,16.41
2025-10-22T08:38:38.138049,shrek3,PUSS,196,False,9b683522af0c,15.20
2025-10-22T08:38:38.654196,grail,the,1600,False,ecf5a14790a2,17.08
2025-10-22T08:38:39.172373,shrek,I,386,False,9b1c20177680,16.28
2025-10-22T08:38:39.689842,shrek,you,409,False,9b683522af0c,16.35
2025-10-22T08:38:40.207221,grail,54,2,False,ecf5a14790a2,15.92
2025-10-22T08:38:40.724312,shrek,"Ha,",0,False,9b1c20177680,15.75
2025-10-22T08:38:41.240764,shrek,happily,2,False,9b683522af0c,20.06
2025-10-22T08:38:41.762073,shrek3,wont,0,True,ecf5a14790a2,12.93
2025-10-22T08:38:42.275690,grail,upon,13,False,9b1c20177680,16.34
2025-10-22T08:38:42.793120,shrek,Shrek,433,False,9b683522af0c,16.25
2025-10-22T08:38:43.309894,grail,rows,1,False,ecf5a14790a2,13.79
2025-10-22T08:38:43.824751,grail,Butts,2,True,9b1c20177680,11.35
2025-10-22T08:38:44.336381,shrek,And,318,False,9b683522af0c,16.03
2025-10-22T08:38:44.853479,grail,To,718,False,ecf5a14790a2,16.69
2025-10-22T08:38:45.371218,grail,the,1600,True,9b1c20177680,11.82
2025-10-22T08:38:45.884049,shrek,FIONA,211,True,9b683522af0c,11.00
2025-10-22T08:38:46.396075,grail,"collective,",0,False,ecf5a14790a2,16.20
2025-10-22T08:38:46.913424,shrek3,still,18,False,9b1c20177680,17.06
2025-10-22T08:38:47.431475,grail,Christ,8,False,9b683522af0c,14.09
2025-10-22T08:38:47.946626,grail,Who’s,3,False,ecf5a14790a2,16.39
2025-10-22T08:38:48.463984,shrek3,CHARMING,232,False,9b1c20177680,16.84
2025-10-22T08:38:48.981855,grail,Bum,13,False,9b683522af0c,13.96
2025-10-22T08:38:49.496812,shrek3,youre,0,False,ecf5a14790a2,16.30
2025-10-22T08:38:50.014157,shrek,(standing,0,True,9b1c20177680,11.48
2025-10-22T08:38:50.526802,shrek,FIONA,211,True,9b683522af0c,11.30
2025-10-22T08:38:51.039153,shrek3,the,1285,False,ecf5a14790a2,35.63
2025-10-22T08:38:51.576489,shrek,on,88,False,9b1c20177680,15.78
2025-10-22T08:38:52.093333,shrek3,PRINCE,207,False,9b683522af0c,17.29
2025-10-22T08:38:52.611651,grail,Ecky-Ecky-Ecky,-1,False,-,2560.54
2025-10-22T08:38:55.673269,shrek,stairs,7,False,9b1c20177680,15.88
2025-10-22T08:38:56.190216,shrek3,Ahh,8,False,9b683522af0c,17.40
2025-10-22T08:38:56.709031,grail,I,-1,False,-,2295.17
2025-10-22T08:38:59.505444,shrek3,WHITE,45,True,9b1c20177680,11.68
2025-10-22T08:39:00.018155,shrek3,the,1285,True,9b683522af0c,9.71
2025-10-22T08:39:00.529199,grail,lost,-1,False,-,2301.66
2025-10-22T08:39:03.331883,shrek,don't,72,False,9b1c20177680,16.17
2025-10-22T08:39:03.849060,shrek,"Ha,",0,True,9b683522af0c,10.18
2025-10-22T08:39:04.360216,shrek3,WOLF,-1,False,-,2288.35
2025-10-22T08:39:07.149627,grail,Get,47,False,9b1c20177680,14.83
2025-10-22T08:39:07.665407,grail,Christ,8,True,9b683522af0c,11.11
2025-10-22T08:39:08.177554,grail,seek,-1,False,-,2295.20
2025-10-22T08:39:10.973822,shrek3,him,87,False,9b1c20177680,28.31
2025-10-22T08:39:11.503365,shrek3,Guards,23,False,9b683522af0c,15.14
2025-10-22T08:39:12.019588,shrek,trip,-1,False,-,2291.95
2025-10-22T08:39:14.811616,grail,GALAHAD,87,False,9b1c20177680,17.41
2025-10-22T08:39:15.330032,shrek,MAN,38,True,9b683522af0c,11.60
2025-10-22T08:39:15.842626,grail,GALAHAD,-1,False,-,2290.82
2025-10-22T08:39:18.634440,shrek,after,10,False,9b1c20177680,16.11
2025-10-22T08:39:19.151561,grail,the,1600,True,9b683522af0c,12.28
2025-10-22T08:39:19.664947,shrek3,the,-1,False,-,2283.50
2025-10-22T08:39:22.449369,grail,are,-1,False,-,3.13
2025-10-22T08:39:22.953643,shrek,FARQUAAD,84,False,9b683522af0c,16.35
2025-10-22T08:39:23.471005,shrek,one,-1,False,-,2297.50
2025-10-22T08:39:26.269529,grail,"collective,",-1,False,-,2560.27
2025-10-22T08:39:29.330822,grail,at,104,False,9b683522af0c,14.58
2025-10-22T08:39:29.846479,shrek,on,-1,False,-,2559.39
2025-10-22T08:39:32.906900,grail,us,-1,False,-,2539.51
2025-10-22T08:39:35.947460,shrek3,"Suddenly,",0,False,9b683522af0c,17.95
2025-10-22T08:39:36.466494,grail,Cleveland,-1,False,-,2685.52
2025-10-22T08:39:39.653045,shrek,SHREK,-1,False,-,2623.10
2025-10-22T08:39:42.777123,shrek3,us,12,False,9b683522af0c,17.54
2025-10-22T08:39:43.295766,shrek,SHREK,-1,False,-,2567.86
2025-10-22T08:39:46.363678,shrek,the,-1,False,-,2543.06
2025-10-22T08:39:49.407895,shrek3,fall,6,False,9b683522af0c,17.69
2025-10-22T08:39:49.926859,grail,19Prince,-1,False,-,2560.28
2025-10-22T08:39:52.988194,grail,Butts,2,True,9b1c20177680,15.10
2025-10-22T08:39:53.504390,shrek3,what,82,False,9b683522af0c,16.51
2025-10-22T08:39:54.022117,shrek,edge,2,False,ecf5a14790a2,22.19
2025-10-22T08:39:54.545319,shrek3,JOCKS,2,False,9b1c20177680,16.90
2025-10-22T08:39:55.063487,grail,Aaaaugh,9,False,9b683522af0c,17.00
2025-10-22T08:39:55.581608,shrek3,cues,3,False,ecf5a14790a2,18.14
2025-10-22T08:39:56.100702,shrek,his,48,False,9b1c20177680,15.63
2025-10-22T08:39:56.617475,shrek3,SHOUTING),0,False,9b683522af0c,18.16
2025-10-22T08:39:57.136964,shrek,after,10,True,ecf5a14790a2,11.90
2025-10-22T08:39:57.650215,shrek,don't,72,True,9b1c20177680,11.87
2025-10-22T08:39:58.163388,shrek,DONKEY,320,True,9b683522af0c,12.52
2025-10-22T08:39:58.677231,shrek3,Hold,8,False,ecf5a14790a2,16.83
2025-10-22T08:39:59.195127,shrek,and,318,True,9b1c20177680,10.45
2025-10-22T08:39:59.706593,shrek,old,10,False,9b683522af0c,15.37
