t_start_utc,file,keyword,count,from_cache,server,latency_ms
2025-10-22T08:10:28.097048,shrek,DONKEY,320,False,91b104b07f6e,30.011818002094515
2025-10-22T08:10:28.639573,shrek,not,50,False,91b104b07f6e,10.040437999123242
2025-10-22T08:10:29.157130,shrek3,did,14,False,91b104b07f6e,11.261263000051258
2025-10-22T08:10:29.674768,shrek3,to,511,False,91b104b07f6e,10.62258299862151
2025-10-22T08:10:30.191482,shrek3,cosmic,1,False,91b104b07f6e,10.952209002425661
2025-10-22T08:10:30.711754,shrek3,wont,0,False,91b104b07f6e,11.366708000423387
2025-10-22T08:10:31.228702,grail,since,10,False,91b104b07f6e,15.37220699901809
2025-10-22T08:10:31.749659,shrek3,the,1285,False,91b104b07f6e,11.281634000624763
2025-10-22T08:10:32.267239,shrek3,PRINCE,207,False,91b104b07f6e,10.771831999591086
2025-10-22T08:10:32.784177,shrek,SHREK,433,False,91b104b07f6e,9.668083999713417
2025-10-22T08:10:33.300055,shrek,SHREK,433,True,91b104b07f6e,5.026466998970136
2025-10-22T08:10:33.810868,shrek,"Well,",0,False,91b104b07f6e,9.06735999888042
2025-10-22T08:10:34.326171,grail,3,18,False,91b104b07f6e,9.915593000187073
2025-10-22T08:10:34.842393,grail,THREE-HEADED,8,False,91b104b07f6e,9.762654000951443
2025-10-22T08:10:35.358334,shrek3,Final,119,False,91b104b07f6e,11.483882000902668
2025-10-22T08:10:35.875638,grail,BEDEVERE,103,False,91b104b07f6e,9.589844001311576
2025-10-22T08:10:36.392345,shrek3,showing,1,False,91b104b07f6e,10.190520002652192
2025-10-22T08:10:36.909078,grail,to,718,False,91b104b07f6e,27.128567002364434
2025-10-22T08:10:37.450725,shrek3,did,14,True,91b104b07f6e,8.076174999587238
2025-10-22T08:10:37.971494,shrek,looks,37,False,91b104b07f6e,7.84581799962325
2025-10-22T08:10:38.485603,shrek,DONKEY,320,True,91b104b07f6e,4.730577998998342
2025-10-22T08:10:38.996587,grail,the,1600,False,91b104b07f6e,8.354745001270203
2025-10-22T08:10:39.510566,shrek,DONKEY,320,True,91b104b07f6e,5.934644999797456
2025-10-22T08:10:40.022840,shrek,FIONA,211,False,91b104b07f6e,9.334107002359815
2025-10-22T08:10:40.537865,shrek,Is,132,False,91b104b07f6e,7.971609997184714
2025-10-22T08:10:41.051267,shrek3,did,14,True,91b104b07f6e,4.1960540002037305
2025-10-22T08:10:41.561688,shrek3,ruby,1,False,91b104b07f6e,20.336146997578908
2025-10-22T08:10:42.099055,grail,Cleese,10,False,91b104b07f6e,9.786049999092938
2025-10-22T08:10:42.615064,shrek3,WOLF,7,False,91b104b07f6e,8.75957400057814
2025-10-22T08:10:43.129380,grail,Butts,2,False,91b104b07f6e,9.18031100081862
2025-10-22T08:10:43.644276,shrek3,PUSS,196,False,91b104b07f6e,11.480316999950446
