pass,client_id,t_start_utc,file,keyword,count,from_cache,server,latency_ms,source_file
1,2f2f9cd9daa1,2025-10-21T15:14:04.784844,grail,19Prince,0,False,152783cb49ee,6.175365000672173,latency-2f2f9cd9daa1.csv
1,2f2f9cd9daa1,2025-10-21T15:14:04.893799,shrek,SHREK,433,False,152783cb49ee,7.408858999951917,latency-2f2f9cd9daa1.csv
1,2f2f9cd9daa1,2025-10-21T15:14:05.004881,shrek,fair,2,False,152783cb49ee,7.060660000206553,latency-2f2f9cd9daa1.csv
1,2f2f9cd9daa1,2025-10-21T15:14:05.114769,shrek3,CHARMING,232,False,152783cb49ee,9.21648199982883,latency-2f2f9cd9daa1.csv
1,2f2f9cd9daa1,2025-10-21T15:14:05.227949,shrek,HOOD,13,False,152783cb49ee,8.190909000404645,latency-2f2f9cd9daa1.csv
1,2f2f9cd9daa1,2025-10-21T15:14:05.340493,shrek,DONKEY,320,False,152783cb49ee,14.10802399914246,latency-2f2f9cd9daa1.csv
1,2f2f9cd9daa1,2025-10-21T15:14:05.459005,shrek,GORDO,5,False,152783cb49ee,7.477928999833239,latency-2f2f9cd9daa1.csv
1,2f2f9cd9daa1,2025-10-21T15:14:05.570395,shrek,SHREK,433,True,152783cb49ee,3.604860999985249,latency-2f2f9cd9daa1.csv
1,2f2f9cd9daa1,2025-10-21T15:14:05.678061,grail,Gallahad,44,False,152783cb49ee,19.08262500001001,latency-2f2f9cd9daa1.csv
1,2f2f9cd9daa1,2025-10-21T15:14:05.801977,grail,toward,10,False,152783cb49ee,34.43507500014675,latency-2f2f9cd9daa1.csv
1,2f2f9cd9daa1,2025-10-21T15:14:05.959162,grail,(as,0,False,152783cb49ee,31.525039999905857,latency-2f2f9cd9daa1.csv
1,2f2f9cd9daa1,2025-10-21T15:14:06.123160,shrek3,reason,2,False,152783cb49ee,14.354065999214072,latency-2f2f9cd9daa1.csv
1,2f2f9cd9daa1,2025-10-21T15:14:06.265058,shrek,tale,7,True,152783cb49ee,4.011304999949061,latency-2f2f9cd9daa1.csv
1,2f2f9cd9daa1,2025-10-21T15:14:06.373238,shrek3,PRINCE,207,False,152783cb49ee,11.05983700017532,latency-2f2f9cd9daa1.csv
1,2f2f9cd9daa1,2025-10-21T15:14:06.488688,grail,is,317,True,152783cb49ee,2.918616999522783,latency-2f2f9cd9daa1.csv
1,2f2f9cd9daa1,2025-10-21T15:14:06.595278,shrek3,Im,1,False,152783cb49ee,26.17046399973333,latency-2f2f9cd9daa1.csv
1,2f2f9cd9daa1,2025-10-21T15:14:06.725482,shrek3,SHOUTING),0,False,152783cb49ee,18.454232000294724,latency-2f2f9cd9daa1.csv
1,2f2f9cd9daa1,2025-10-21T15:14:06.852240,grail,LTD,6,False,152783cb49ee,9.089160999792512,latency-2f2f9cd9daa1.csv
1,2f2f9cd9daa1,2025-10-21T15:14:06.968569,shrek3,-,110,True,152783cb49ee,4.822631999559235,latency-2f2f9cd9daa1.csv
1,2f2f9cd9daa1,2025-10-21T15:14:07.077809,shrek3,MERLIN,73,True,152783cb49ee,2.8609189994313056,latency-2f2f9cd9daa1.csv
2,2f2f9cd9daa1,2025-10-21T15:14:07.187803,grail,19Prince,0,True,152783cb49ee,2.865233000193257,latency-2f2f9cd9daa1.csv
2,2f2f9cd9daa1,2025-10-21T15:14:07.297834,shrek,SHREK,433,True,152783cb49ee,2.7336690000083763,latency-2f2f9cd9daa1.csv
2,2f2f9cd9daa1,2025-10-21T15:14:07.408974,shrek,fair,2,True,152783cb49ee,4.5846250004615285,latency-2f2f9cd9daa1.csv
2,2f2f9cd9daa1,2025-10-21T15:14:07.523982,shrek3,CHARMING,232,True,152783cb49ee,4.2921639997075545,latency-2f2f9cd9daa1.csv
2,2f2f9cd9daa1,2025-10-21T15:14:07.633470,shrek,HOOD,13,True,152783cb49ee,33.14239500014082,latency-2f2f9cd9daa1.csv
2,2f2f9cd9daa1,2025-10-21T15:14:07.787589,shrek,DONKEY,320,True,152783cb49ee,3.4149389994126977,latency-2f2f9cd9daa1.csv
2,2f2f9cd9daa1,2025-10-21T15:14:07.897934,shrek,GORDO,5,True,152783cb49ee,2.517501000511402,latency-2f2f9cd9daa1.csv
2,2f2f9cd9daa1,2025-10-21T15:14:08.003353,shrek,SHREK,433,True,152783cb49ee,2.230072999736876,latency-2f2f9cd9daa1.csv
2,2f2f9cd9daa1,2025-10-21T15:14:08.106876,grail,Gallahad,44,True,152783cb49ee,9.423239000170724,latency-2f2f9cd9daa1.csv
2,2f2f9cd9daa1,2025-10-21T15:14:08.221837,grail,toward,10,True,152783cb49ee,8.637218999865581,latency-2f2f9cd9daa1.csv
2,2f2f9cd9daa1,2025-10-21T15:14:08.336093,grail,(as,0,True,152783cb49ee,17.39578500018979,latency-2f2f9cd9daa1.csv
2,2f2f9cd9daa1,2025-10-21T15:14:08.469602,shrek3,reason,2,True,152783cb49ee,14.15055500001472,latency-2f2f9cd9daa1.csv
2,2f2f9cd9daa1,2025-10-21T15:14:08.597158,shrek,tale,7,True,152783cb49ee,2.7742869997382518,latency-2f2f9cd9daa1.csv
2,2f2f9cd9daa1,2025-10-21T15:14:08.707467,shrek3,PRINCE,207,True,152783cb49ee,2.27527100014413,latency-2f2f9cd9daa1.csv
2,2f2f9cd9daa1,2025-10-21T15:14:08.812548,grail,is,317,True,152783cb49ee,3.0926449999242323,latency-2f2f9cd9daa1.csv
2,2f2f9cd9daa1,2025-10-21T15:14:08.919219,shrek3,Im,1,True,152783cb49ee,2.5453680000282475,latency-2f2f9cd9daa1.csv
2,2f2f9cd9daa1,2025-10-21T15:14:09.024998,shrek3,SHOUTING),0,True,152783cb49ee,4.066661999786447,latency-2f2f9cd9daa1.csv
2,2f2f9cd9daa1,2025-10-21T15:14:09.133429,grail,LTD,6,True,152783cb49ee,3.7014049994468223,latency-2f2f9cd9daa1.csv
