pass,client_id,t_start_utc,file,keyword,count,from_cache,server,latency_ms,source_file
1,06d03888b6a7,2025-10-15T11:53:48.952653,shrek,token,1,True,ad188af8fa2e,4.5859359997848514,latency-06d03888b6a7.csv
1,06d03888b6a7,2025-10-15T11:53:49.061840,shrek3,SHOUTING),0,False,f23699364d32,16.464404000544164,latency-06d03888b6a7.csv
1,06d03888b6a7,2025-10-15T11:53:49.186632,shrek3,SHREK,678,True,bc16c253cd86,7.591630000206351,latency-06d03888b6a7.csv
1,06d03888b6a7,2025-10-15T11:53:49.300743,shrek3,DONKEY,243,True,ad188af8fa2e,7.324991999666963,latency-06d03888b6a7.csv
1,06d03888b6a7,2025-10-15T11:53:49.415241,shrek,SHREK,433,True,ad188af8fa2e,6.433450999793422,latency-06d03888b6a7.csv
1,06d03888b6a7,2025-10-15T11:53:49.529255,shrek,SHREK,433,True,ad188af8fa2e,4.220485999212542,latency-06d03888b6a7.csv
1,06d03888b6a7,2025-10-15T11:53:49.638489,shrek3,toward,14,True,f23699364d32,4.335233000347216,latency-06d03888b6a7.csv
1,06d03888b6a7,2025-10-15T11:53:49.748473,shrek,a,305,True,bc16c253cd86,5.926087999796437,latency-06d03888b6a7.csv
1,06d03888b6a7,2025-10-15T11:53:49.859448,shrek3,CHARMING,232,True,ad188af8fa2e,4.253113999766356,latency-06d03888b6a7.csv
1,06d03888b6a7,2025-10-15T11:53:49.968965,shrek,fair,2,False,f23699364d32,8.687373999237025,latency-06d03888b6a7.csv
1,06d03888b6a7,2025-10-15T11:53:50.082748,shrek,HOOD,13,False,bc16c253cd86,8.548810000320373,latency-06d03888b6a7.csv
1,06d03888b6a7,2025-10-15T11:53:50.196820,shrek3,of,275,True,ad188af8fa2e,4.32068500049354,latency-06d03888b6a7.csv
1,06d03888b6a7,2025-10-15T11:53:50.306010,grail,rows,1,False,f23699364d32,9.462218999942706,latency-06d03888b6a7.csv
1,06d03888b6a7,2025-10-15T11:53:50.420388,shrek3,Ahh,8,False,bc16c253cd86,11.303712999506388,latency-06d03888b6a7.csv
1,06d03888b6a7,2025-10-15T11:53:50.536237,shrek,CROWD,5,True,f23699364d32,4.621789999873727,latency-06d03888b6a7.csv
1,06d03888b6a7,2025-10-15T11:53:50.645463,shrek,looks,37,False,bc16c253cd86,8.409268999457709,latency-06d03888b6a7.csv
1,06d03888b6a7,2025-10-15T11:53:50.758036,shrek,DONKEY,320,True,ad188af8fa2e,4.4603060005101725,latency-06d03888b6a7.csv
1,06d03888b6a7,2025-10-15T11:53:50.867968,grail,Bum,13,False,f23699364d32,15.855516000556236,latency-06d03888b6a7.csv
1,06d03888b6a7,2025-10-15T11:53:50.990504,shrek,minute,3,False,bc16c253cd86,9.505265000370857,latency-06d03888b6a7.csv
