pass,client_id,t_start_utc,file,keyword,count,from_cache,server,latency_ms,source_file
1,15511c5ab6a7,2025-10-15T11:09:37.052726,shrek,swamp,18,True,6c3542cbe03f,6.9895569999971485,latency-15511c5ab6a7.csv
1,15511c5ab6a7,2025-10-15T11:09:37.580509,grail,the,1600,True,cceed05c8d09,5.735845000117479,latency-15511c5ab6a7.csv
1,15511c5ab6a7,2025-10-15T11:09:38.047147,grail,pretty,7,True,cceed05c8d09,5.967908000002353,latency-15511c5ab6a7.csv
1,15511c5ab6a7,2025-10-15T11:09:38.521646,shrek,What,104,False,a66a9eda363f,11.79875599996194,latency-15511c5ab6a7.csv
1,15511c5ab6a7,2025-10-15T11:09:38.992761,shrek,placed,1,False,6c3542cbe03f,10.74390699977812,latency-15511c5ab6a7.csv
1,15511c5ab6a7,2025-10-15T11:09:39.529929,shrek3,did,14,True,6c3542cbe03f,5.131182000013723,latency-15511c5ab6a7.csv
1,15511c5ab6a7,2025-10-15T11:09:39.997684,shrek,FIONA,211,True,6c3542cbe03f,7.28105999996842,latency-15511c5ab6a7.csv
1,15511c5ab6a7,2025-10-15T11:09:40.503846,grail,"Oh,",2,True,a66a9eda363f,5.657905000134633,latency-15511c5ab6a7.csv
1,15511c5ab6a7,2025-10-15T11:09:41.022309,shrek,FARQUAAD,84,False,cceed05c8d09,10.1455920000717,latency-15511c5ab6a7.csv
1,15511c5ab6a7,2025-10-15T11:09:41.522800,shrek3,OGRE,39,False,cceed05c8d09,16.692297999952643,latency-15511c5ab6a7.csv
1,15511c5ab6a7,2025-10-15T11:09:42.093797,shrek,tell,25,True,6c3542cbe03f,9.205073999964952,latency-15511c5ab6a7.csv
1,15511c5ab6a7,2025-10-15T11:09:42.571791,shrek,Aah,6,True,a66a9eda363f,7.084049000013692,latency-15511c5ab6a7.csv
1,15511c5ab6a7,2025-10-15T11:09:43.089312,shrek3,the,1285,True,a66a9eda363f,8.504771999923832,latency-15511c5ab6a7.csv
1,15511c5ab6a7,2025-10-15T11:09:43.639905,grail,grabbing,5,False,6c3542cbe03f,16.709269999864773,latency-15511c5ab6a7.csv
1,15511c5ab6a7,2025-10-15T11:09:44.201242,shrek3,SNOW,49,True,cceed05c8d09,7.231316000115839,latency-15511c5ab6a7.csv
1,15511c5ab6a7,2025-10-15T11:09:44.761749,shrek,tell,25,True,6c3542cbe03f,12.161934000005203,latency-15511c5ab6a7.csv
1,15511c5ab6a7,2025-10-15T11:09:45.288551,grail,Jones,7,False,a66a9eda363f,27.850979000049847,latency-15511c5ab6a7.csv
1,15511c5ab6a7,2025-10-15T11:09:45.813907,shrek,(standing,0,False,a66a9eda363f,19.01036699996439,latency-15511c5ab6a7.csv
1,15511c5ab6a7,2025-10-15T11:09:46.381147,grail,Christ,8,True,a66a9eda363f,8.809859000166398,latency-15511c5ab6a7.csv
1,15511c5ab6a7,2025-10-15T11:09:46.937301,shrek3,through,43,False,6c3542cbe03f,19.7337909999078,latency-15511c5ab6a7.csv
2,15511c5ab6a7,2025-10-15T11:09:47.498801,shrek,swamp,18,True,a66a9eda363f,7.867858999816235,latency-15511c5ab6a7.csv
2,15511c5ab6a7,2025-10-15T11:09:48.032964,grail,the,1600,True,cceed05c8d09,7.630681999899025,latency-15511c5ab6a7.csv
2,15511c5ab6a7,2025-10-15T11:09:48.557898,grail,pretty,7,True,6c3542cbe03f,7.654480000155672,latency-15511c5ab6a7.csv
2,15511c5ab6a7,2025-10-15T11:09:49.096048,shrek,What,104,True,cceed05c8d09,7.77466599993204,latency-15511c5ab6a7.csv
2,15511c5ab6a7,2025-10-15T11:09:49.590415,shrek,placed,1,True,cceed05c8d09,8.15919000001486,latency-15511c5ab6a7.csv
2,15511c5ab6a7,2025-10-15T11:09:50.110446,shrek3,did,14,True,6c3542cbe03f,7.425508999858721,latency-15511c5ab6a7.csv
2,15511c5ab6a7,2025-10-15T11:09:50.609171,shrek,FIONA,211,True,a66a9eda363f,8.205757000041558,latency-15511c5ab6a7.csv
2,15511c5ab6a7,2025-10-15T11:09:51.096995,grail,"Oh,",2,True,6c3542cbe03f,7.352496000066822,latency-15511c5ab6a7.csv
2,15511c5ab6a7,2025-10-15T11:09:51.579086,shrek,FARQUAAD,84,True,a66a9eda363f,8.994510999855265,latency-15511c5ab6a7.csv
2,15511c5ab6a7,2025-10-15T11:09:52.075847,shrek3,OGRE,39,True,a66a9eda363f,11.46325599984266,latency-15511c5ab6a7.csv
2,15511c5ab6a7,2025-10-15T11:09:52.645560,shrek,tell,25,True,6c3542cbe03f,12.782672999946952,latency-15511c5ab6a7.csv
2,15511c5ab6a7,2025-10-15T11:09:53.172301,shrek,Aah,6,True,cceed05c8d09,7.631212999967829,latency-15511c5ab6a7.csv
2,15511c5ab6a7,2025-10-15T11:09:53.717949,shrek3,the,1285,True,6c3542cbe03f,7.7588740000464895,latency-15511c5ab6a7.csv
2,15511c5ab6a7,2025-10-15T11:09:54.229806,grail,grabbing,5,True,6c3542cbe03f,7.883640000045489,latency-15511c5ab6a7.csv
2,15511c5ab6a7,2025-10-15T11:09:54.782319,shrek3,SNOW,49,True,cceed05c8d09,8.276683000076446,latency-15511c5ab6a7.csv
2,15511c5ab6a7,2025-10-15T11:09:55.276357,shrek,tell,25,True,6c3542cbe03f,8.589714999970965,latency-15511c5ab6a7.csv
2,15511c5ab6a7,2025-10-15T11:09:55.758223,grail,Jones,7,True,6c3542cbe03f,7.584115999861751,latency-15511c5ab6a7.csv
2,15511c5ab6a7,2025-10-15T11:09:56.314849,shrek,(standing,0,True,a66a9eda363f,9.604100999922592,latency-15511c5ab6a7.csv
2,15511c5ab6a7,2025-10-15T11:09:56.809664,grail,Christ,8,True,cceed05c8d09,8.11915099984617,latency-15511c5ab6a7.csv
2,15511c5ab6a7,2025-10-15T11:09:57.313258,shrek3,through,43,True,6c3542cbe03f,8.886398999948142,latency-15511c5ab6a7.csv
1,44565926503f,2025-10-15T11:09:34.206573,grail,the,1600,False,a66a9eda363f,13.54483199997958,latency-44565926503f.csv
1,44565926503f,2025-10-15T11:09:34.776238,shrek,after,10,True,a66a9eda363f,6.5047880000292935,latency-44565926503f.csv
1,44565926503f,2025-10-15T11:09:35.264190,shrek3,Be,71,False,a66a9eda363f,13.580395999952088,latency-44565926503f.csv
1,44565926503f,2025-10-15T11:09:35.749739,shrek3,SNOW,49,False,a66a9eda363f,17.050524000069345,latency-44565926503f.csv
1,44565926503f,2025-10-15T11:09:36.234291,shrek3,reason,2,False,a66a9eda363f,13.543087000016383,latency-44565926503f.csv
1,44565926503f,2025-10-15T11:09:36.791746,shrek3,SHREK,678,True,a66a9eda363f,5.59079999993628,latency-44565926503f.csv
1,44565926503f,2025-10-15T11:09:37.345447,shrek,And,318,True,6c3542cbe03f,6.663211999921259,latency-44565926503f.csv
1,44565926503f,2025-10-15T11:09:37.843413,grail,lost,6,False,cceed05c8d09,11.430744999870512,latency-44565926503f.csv
1,44565926503f,2025-10-15T11:09:38.375277,grail,"Oh,",2,False,cceed05c8d09,11.580878999893685,latency-44565926503f.csv
