pass,client_id,t_start_utc,file,keyword,count,from_cache,server,latency_ms
1,7141a772ad09,2025-10-15T10:59:40.805682,shrek3,Third,121,False,7bdda916e3c7,43.17867899999328
1,7141a772ad09,2025-10-15T10:59:41.903426,grail,king,136,False,2ac6c6a88a9e,32.264187999999194
1,7141a772ad09,2025-10-15T10:59:42.914561,shrek,cottage,4,False,2a03cb1296e8,24.45666699998128
1,7141a772ad09,2025-10-15T10:59:43.869207,grail,Aaaaugh,9,False,7bdda916e3c7,17.734318999941934
1,7141a772ad09,2025-10-15T10:59:44.978711,shrek,What,104,False,2ac6c6a88a9e,15.032042000029833
1,7141a772ad09,2025-10-15T10:59:45.943181,shrek3,SHOUTING),0,False,2a03cb1296e8,19.13036899998133
1,7141a772ad09,2025-10-15T10:59:46.978731,grail,the,1600,False,7bdda916e3c7,16.37206700002025
1,7141a772ad09,2025-10-15T10:59:48.015697,grail,on,139,False,2ac6c6a88a9e,16.5586750000557
1,7141a772ad09,2025-10-15T10:59:49.134346,shrek,HOOD,13,False,2a03cb1296e8,14.261543999964488
1,7141a772ad09,2025-10-15T10:59:50.163268,shrek3,to,511,False,7bdda916e3c7,17.232137999940278
1,7141a772ad09,2025-10-15T10:59:51.143828,grail,grabbing,5,False,2ac6c6a88a9e,14.799122999988867
1,7141a772ad09,2025-10-15T10:59:52.083857,shrek3,SHREK,678,False,2a03cb1296e8,20.577340000045297
1,7141a772ad09,2025-10-15T10:59:53.191229,shrek,minute,3,False,7bdda916e3c7,14.537663999931283
1,7141a772ad09,2025-10-15T10:59:54.185023,grail,of,684,False,2ac6c6a88a9e,28.933997999956773
1,7141a772ad09,2025-10-15T10:59:55.322325,shrek,way,26,False,2a03cb1296e8,14.463478000038776
1,7141a772ad09,2025-10-15T10:59:56.381079,grail,toward,10,False,7bdda916e3c7,18.087953000076595
1,7141a772ad09,2025-10-15T10:59:57.315234,grail,rows,1,False,2ac6c6a88a9e,24.65473600000223
1,7141a772ad09,2025-10-15T10:59:58.355211,shrek3,SHOUTING),0,True,2a03cb1296e8,7.950071000095704
1,7141a772ad09,2025-10-15T10:59:59.467396,shrek,its,1,False,7bdda916e3c7,18.520996000006562
1,7141a772ad09,2025-10-15T11:00:00.431508,grail,grabbing,5,True,2ac6c6a88a9e,8.296132000054968
2,7141a772ad09,2025-10-15T11:00:01.506428,shrek3,Third,121,True,2a03cb1296e8,7.607193000012558
2,7141a772ad09,2025-10-15T11:00:02.572990,grail,king,136,True,7bdda916e3c7,8.484658000043055
2,7141a772ad09,2025-10-15T11:00:03.620936,shrek,cottage,4,True,2ac6c6a88a9e,8.551487999966412
2,7141a772ad09,2025-10-15T11:00:04.675315,grail,Aaaaugh,9,True,2a03cb1296e8,9.358593000001747
2,7141a772ad09,2025-10-15T11:00:05.630301,shrek,What,104,True,7bdda916e3c7,8.437714000024243
2,7141a772ad09,2025-10-15T11:00:06.708045,shrek3,SHOUTING),0,True,2ac6c6a88a9e,8.054612000023553
2,7141a772ad09,2025-10-15T11:00:07.637614,grail,the,1600,True,2a03cb1296e8,7.364586999983658
2,7141a772ad09,2025-10-15T11:00:08.612570,grail,on,139,True,7bdda916e3c7,7.550883000021713
2,7141a772ad09,2025-10-15T11:00:09.547110,shrek,HOOD,13,True,2ac6c6a88a9e,7.678212999962852
2,7141a772ad09,2025-10-15T11:00:10.491816,shrek3,to,511,True,2a03cb1296e8,7.846363999988171
2,7141a772ad09,2025-10-15T11:00:11.485268,grail,grabbing,5,True,7bdda916e3c7,8.376636999969378
2,7141a772ad09,2025-10-15T11:00:12.593623,shrek3,SHREK,678,True,2ac6c6a88a9e,7.467919000077927
2,7141a772ad09,2025-10-15T11:00:13.580756,shrek,minute,3,True,2a03cb1296e8,7.5100220000194895
2,7141a772ad09,2025-10-15T11:00:14.541109,grail,of,684,True,7bdda916e3c7,9.678968999992321
2,7141a772ad09,2025-10-15T11:00:15.590928,shrek,way,26,True,2ac6c6a88a9e,8.285467000064273
2,7141a772ad09,2025-10-15T11:00:16.707831,grail,toward,10,True,2a03cb1296e8,7.740536000028442
2,7141a772ad09,2025-10-15T11:00:17.794083,grail,rows,1,True,7bdda916e3c7,8.599983000067368
2,7141a772ad09,2025-10-15T11:00:18.888734,shrek3,SHOUTING),0,True,2ac6c6a88a9e,7.78413900002306
2,7141a772ad09,2025-10-15T11:00:19.860481,shrek,its,1,True,2a03cb1296e8,8.059630000047946
2,7141a772ad09,2025-10-15T11:00:20.820751,grail,grabbing,5,True,7bdda916e3c7,8.57143600001109
