ClientID,pass,file,keyword,count,from_cache,server,latency_ms
1,5047ea5e97b3,grail,thus,5,True,de90a1ee24e5,6.421829006285407
1,5047ea5e97b3,grail,"Eolio,",0,False,de90a1ee24e5,8.62398800381925
1,5047ea5e97b3,grail,Bum,13,False,de90a1ee24e5,8.610898003098555
1,5047ea5e97b3,grail,Jones/Chapman/Palin,1,False,de90a1ee24e5,8.331746998010203
1,5047ea5e97b3,shrek3,Artie,213,False,de90a1ee24e5,12.804464000510052
2,5047ea5e97b3,grail,thus,5,True,2bf0d7df88f0,7.47897700057365
2,5047ea5e97b3,grail,"Eolio,",0,True,2bf0d7df88f0,2.83349200617522
2,5047ea5e97b3,grail,Bum,13,True,2bf0d7df88f0,2.313207005499862
2,5047ea5e97b3,grail,Jones/Chapman/Palin,1,True,2bf0d7df88f0,2.2101729991845787
2,5047ea5e97b3,shrek3,Artie,213,True,2bf0d7df88f0,2.1782160038128495
