ClientID,pass,file,keyword,count,from_cache,server,latency_ms
1,e5f18e579129,shrek,GUARD,25,False,2bf0d7df88f0,39.330144005361944
1,e5f18e579129,shrek,No.,0,True,2bf0d7df88f0,2.8341629949864
1,e5f18e579129,shrek,What,104,False,2bf0d7df88f0,9.488270006841049
1,e5f18e579129,shrek,And,318,True,2bf0d7df88f0,3.0935730028431863
1,e5f18e579129,shrek3,me!,0,True,2bf0d7df88f0,3.2736989960540086
2,e5f18e579129,shrek,GUARD,25,True,2bf0d7df88f0,7.148812001105398
2,e5f18e579129,shrek,No.,0,True,2bf0d7df88f0,2.940909005701542
2,e5f18e579129,shrek,What,104,True,2bf0d7df88f0,2.563911009929143
2,e5f18e579129,shrek,And,318,True,2bf0d7df88f0,2.465170997311361
2,e5f18e579129,shrek3,me!,0,True,2bf0d7df88f0,2.8295950032770634
